Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
lstm,HR,OT,OT,AUC,0.886045452,CV,C1
lstm,HR,OT,SIM1,AUC,0.844143478,non_CV,C2
lstm,HR,OT,SIM2,AUC,0.846483698,non_CV,C3
lstm,HR,OT,TT1,AUC,0.884771801,non_CV,C4
lstm,HR,SIM1,OT,AUC,0.832869316,non_CV,C5
lstm,HR,SIM1,SIM1,AUC,0.88556351,CV,C6
lstm,HR,SIM1,SIM2,AUC,0.850865311,non_CV,C7
lstm,HR,SIM1,TT1,AUC,0.87432516,non_CV,C8
lstm,HR,SIM2,OT,AUC,0.804608854,non_CV,C9
lstm,HR,SIM2,SIM1,AUC,0.814383215,non_CV,C10
lstm,HR,SIM2,SIM2,AUC,0.918781675,CV,C11
lstm,HR,SIM2,TT1,AUC,0.843928599,non_CV,C12
lstm,HR,TT1,OT,AUC,0.822671563,non_CV,C13
lstm,HR,TT1,SIM1,AUC,0.840913314,non_CV,C14
lstm,HR,TT1,SIM2,AUC,0.826422948,non_CV,C15
lstm,HR,TT1,TT1,AUC,0.856165575,CV,C16
lstm,HR_BR,OT,OT,AUC,0.933664474,CV,C1
lstm,HR_BR,OT,SIM1,AUC,0.882474564,non_CV,C2
lstm,HR_BR,OT,SIM2,AUC,0.880739948,non_CV,C3
lstm,HR_BR,OT,TT1,AUC,0.923884333,non_CV,C4
lstm,HR_BR,SIM1,OT,AUC,0.9053521,non_CV,C5
lstm,HR_BR,SIM1,SIM1,AUC,0.932534703,CV,C6
lstm,HR_BR,SIM1,SIM2,AUC,0.859500167,non_CV,C7
lstm,HR_BR,SIM1,TT1,AUC,0.930172884,non_CV,C8
lstm,HR_BR,SIM2,OT,AUC,0.877815371,non_CV,C9
lstm,HR_BR,SIM2,SIM1,AUC,0.822231364,non_CV,C10
lstm,HR_BR,SIM2,SIM2,AUC,0.92918081,CV,C11
lstm,HR_BR,SIM2,TT1,AUC,0.839835615,non_CV,C12
lstm,HR_BR,TT1,OT,AUC,0.860697845,non_CV,C13
lstm,HR_BR,TT1,SIM1,AUC,0.894180571,non_CV,C14
lstm,HR_BR,TT1,SIM2,AUC,0.834782984,non_CV,C15
lstm,HR_BR,TT1,TT1,AUC,0.918066403,CV,C16
lstm,PP,OT,OT,AUC,0.983220426,CV,C1
lstm,PP,OT,SIM1,AUC,0.894091462,non_CV,C2
lstm,PP,OT,SIM2,AUC,0.932058335,non_CV,C3
lstm,PP,OT,TT1,AUC,0.866123744,non_CV,C4
lstm,PP,SIM1,OT,AUC,0.92889847,non_CV,C5
